Indicator,N Trusts,Median LR,Mean LR,SD LR,Min LR,Q25 LR,Q75 LR,Max LR,Direction,Interpretation
Q15: Fair career progression,159,0.8482436437734451,0.8521854093128634,0.07080964501143575,0.6941309372052773,0.8054669772990707,0.8950904653657028,1.1483388338833884,positive,BME staff 1.2x less likely to report positively
Q16b: Discrimination from manager/colleagues,159,2.302054806028327,2.3893663425836635,0.6679959737599183,1.2279180279180277,1.9365888242679268,2.7309387084145804,4.881407161748045,negative,BME staff 2.3x more likely
Harassment from patients (by ethnicity),159,1.1769536450808762,1.1904717555883129,0.19080123429861304,0.6827308255984367,1.0831884994220906,1.320357784268407,1.6814136791253498,negative,BME staff 1.2x more likely
Harassment from staff (by ethnicity),159,1.1710632003508743,1.1968429702435621,0.19067264292206437,0.750886397964862,1.0696742577441751,1.3010254776266652,2.0405536332179928,negative,BME staff 1.2x more likely
