Factor,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8
Factor 1,1.0000000000000002,0.4441784881101843,0.4832865477255591,-0.6555428754431735,-0.6160971904370784,-0.5309903120699596,-0.4925676982539901,-0.1429386866641772
Factor 2,0.4441784881101843,1.0000000000000002,0.3486803444212968,-0.1343747249452613,-0.16388840414069622,-0.020155929964388558,-0.5035269563168709,0.16546396558755314
Factor 3,0.4832865477255591,0.3486803444212968,1.0000000000000002,-0.34859006168725953,-0.2263809103772711,0.09855289118578824,-0.14339145251600224,0.07263033516243791
Factor 4,-0.6555428754431735,-0.1343747249452613,-0.34859006168725953,1.0000000000000002,0.5824718105968943,0.5178083251395886,0.27561594536949124,0.32776220963360686
Factor 5,-0.6160971904370784,-0.16388840414069622,-0.2263809103772711,0.5824718105968943,1.0,0.6752746358161673,0.36882328155442523,0.29748425638552123
Factor 6,-0.5309903120699596,-0.020155929964388558,0.09855289118578824,0.5178083251395886,0.6752746358161673,1.0,0.3596108719988882,0.22794671353277077
Factor 7,-0.4925676982539901,-0.5035269563168709,-0.14339145251600224,0.27561594536949124,0.36882328155442523,0.3596108719988882,0.9999999999999999,-0.268882071924362
Factor 8,-0.1429386866641772,0.16546396558755314,0.07263033516243791,0.32776220963360686,0.29748425638552123,0.22794671353277077,-0.268882071924362,1.0000000000000007
