Factor,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6
Factor 1,0.9999999999999997,0.4875732311087312,0.46402524306612253,-0.6671458072759214,-0.5302162731430292,-0.5609541276523577
Factor 2,0.4875732311087312,0.9999999999999999,0.3276103495429749,-0.1890617165991565,-0.029245564759826613,-0.5052438610150797
Factor 3,0.46402524306612253,0.3276103495429749,1.0,-0.3924305088490589,0.07041941752915594,-0.1329162061833899
Factor 4,-0.6671458072759214,-0.1890617165991565,-0.3924305088490589,0.9999999999999998,0.5540115053023446,0.39066099099180457
Factor 5,-0.5302162731430292,-0.029245564759826613,0.07041941752915594,0.5540115053023446,1.0000000000000002,0.5634516587245406
Factor 6,-0.5609541276523577,-0.5052438610150797,-0.1329162061833899,0.39066099099180457,0.5634516587245406,1.0000000000000002
